name,image,equipment,description,target_muscle,muscle_group,name
Crunch,https://gethealthyu.com/wp-content/uploads/2014/07/Basic-Crunch_Featured.jpg,no equipments needed,"Crunch:

1. Lie flat on your back.
2. Bend your knees.
3. Plant your feet on the ground.
4. Place your hands behind your head or across your chest.
5. Tighten your core muscles.
6. Lift your head, neck, and shoulders off the ground, curling your upper body slightly towards your knees.
7. Keep your lower back pressed into the ground.
8. Pause briefly at the top of the movement.
9. Slowly lower your head and shoulders back down to the starting position.
10. Repeat the movement for the desired number of reps.

Make sure to maintain proper form throughout the exercise to effectively target your abdominal muscles and avoid straining your neck. Keep your chin slightly tucked and avoid pulling on your head with your hands. Focus on using your core muscles to lift and lower your upper body.",abs,core,Crunch
Sit-up,https://gethealthyu.com/wp-content/uploads/2014/08/Full-Sit-Up_Exercise.jpg,no equipments needed,"Sit-Up:

1. Lie flat on your back.
2. Bend your knees.
3. Plant your feet on the ground.
4. Place your hands behind your head or across your chest.
5. Tighten your core muscles.
6. Lift your head, neck, and shoulders off the ground, curling your upper body towards your knees.
7. Keep your lower back pressed into the ground.
8. Continue lifting until your torso is close to your thighs.
9. Pause briefly at the top of the movement.
10. Slowly lower your upper body back down to the starting position.
11. Repeat the movement for the desired number of reps.

Make sure to maintain proper form throughout the exercise to effectively target your abdominal muscles and avoid straining your neck. Keep your chin slightly tucked and avoid pulling on your head with your hands. Focus on using your core muscles to lift and lower your upper body.",abs,core,Sit-up
Plank,https://gethealthyu.com/wp-content/uploads/2014/07/Full-Plank_Exercise.jpg,no equipments needed,"Plank:

1. Start face down on the floor.
2. Place your elbows under your shoulders.
3. Extend your legs straight back.
4. Keep your feet hip-width apart.
5. Tighten your core muscles.
6. Lift your body, balancing on your elbows and toes.
7. Keep your body in a straight line from your head to your heels.
8. Hold this position for the desired amount of time, maintaining proper form.

Make sure to maintain proper form throughout the exercise to effectively target your core muscles and avoid straining your lower back. Keep your hips level, and don't let them sag or rise too high. Focus on your breathing and gradually increase the duration of your plank as you build strength and endurance.",abs,core,Plank
Leg raises,https://gethealthyu.com/wp-content/uploads/2014/08/Double-Leg-Drops_Exercise1.jpg,no equipments needed,"Leg Raises:

1. Lie flat on your back.
2. Place your hands under your glutes or by your sides.
3. Keep your legs straight and together.
4. Tighten your core muscles.
5. Slowly lift your legs up towards the ceiling.
6. Stop when your legs are perpendicular to the floor.
7. Pause at the top.
8. Slowly lower your legs back down.
9. Stop just before your heels touch the ground.
10. Repeat the movement.",abs,core,Leg raises
Bicep curls (standing),https://images.squarespace-cdn.com/content/v1/5ffcea9416aee143500ea103/1638182745756-76IEDNY3Y86WV546E1IS/Standing%2BAlternate%2BDumbbell%2BBiceps%2BCurls.png?format=500w,"Barbell, Dumbbells","Standing Bicep Curl:

1. Stand upright with feet shoulder-width apart.
2. Hold a dumbbell in each hand, palms facing forward.
3. Keep your elbows close to your body.
4. Tighten your core muscles.
5. Curl the dumbbells towards your shoulders.
6. Keep your upper arms stationary.
7. Pause at the top of the curl.
8. Slowly lower the dumbbells back down.
9. Fully extend your arms at the bottom.
10. Repeat the movement.",biceps,arms,Bicep curls (standing)
Bicep curls (sitting),https://images.squarespace-cdn.com/content/v1/55e406fbe4b0b03c5e7543ae/1500548545366-S3VFJX8RPQJOEV8CYJE4/Seated+Alternate+Incline+Dumbbell+Biceps+Hammer+Curl,dumbbells,"Seated Bicep Curl:

1. Sit on a bench with your feet flat on the floor.
2. Hold a dumbbell in each hand, palms facing forward.
3. Rest your elbows on your thighs or keep them close to your body.
4. Tighten your core muscles.
5. Curl the dumbbells towards your shoulders.
6. Keep your upper arms stationary.
7. Pause at the top of the curl.
8. Slowly lower the dumbbells back down.
9. Fully extend your arms at the bottom.
10. Repeat the movement.",biceps,arms,Bicep curls (sitting)
Hammer curls,https://images.squarespace-cdn.com/content/v1/55e406fbe4b0b03c5e7543ae/1492981233636-4UD2T5KGGE0TVFD91LP7/Standing+Alternate+Dumbbell+Cross+Body+Biceps+Curls,dumbbells,"Hammer Curls:

1. Stand upright with feet shoulder-width apart.
2. Hold a dumbbell in each hand, palms facing your thighs.
3. Keep your elbows close to your body.
4. Tighten your core muscles.
5. Curl the dumbbells towards your shoulders, keeping your palms facing inward.
6. Keep your upper arms stationary.
7. Pause at the top of the curl.
8. Slowly lower the dumbbells back down.
9. Fully extend your arms at the bottom.
10. Repeat the movement.",biceps,arms,Hammer curls
tricep pushdown,https://images.squarespace-cdn.com/content/v1/55e406fbe4b0b03c5e7543ae/1500702815227-KEFPE59740TZTATGCJDX/Standing+One+Arm+Tricep+Pushdowns+%28Overhand+Grip%29,cable machine,"Tricep Pushdown:

1. Stand in front of a cable machine with a high pulley.
2. Attach a straight or V-shaped bar to the pulley.
3. Grasp the bar with an overhand grip, hands shoulder-width apart.
4. Position your feet shoulder-width apart and slightly bend your knees.
5. Tuck your elbows close to your body and keep them stationary.
6. Tighten your core muscles.
7. Push the bar down by extending your elbows.
8. Fully extend your arms at the bottom, focusing on contracting your triceps.
9. Pause briefly at the bottom.
10. Slowly return the bar to the starting position by bending your elbows.
11. Repeat the movement.

Make sure to maintain proper form and control throughout the exercise to effectively target your triceps and avoid straining your elbows or shoulders.",triceps,arms,tricep pushdown
overhead dumbbell tricep extension,https://images.squarespace-cdn.com/content/v1/55e406fbe4b0b03c5e7543ae/1493157358980-FI0ZC3UGERW4BPSRLDZG/Standing+One+Arm+Overhead+Triceps+Extensions,free weight,"Overhead Dumbbell Tricep Extension:

1. Stand or sit with your feet shoulder-width apart.
2. Hold a dumbbell with both hands using a diamond grip (palms facing up, fingers and thumbs touching).
3. Raise the dumbbell above your head, keeping your arms fully extended.
4. Tighten your core muscles and keep your back straight.
5. Slowly bend your elbows, lowering the dumbbell behind your head.
6. Keep your upper arms stationary and close to your ears.
7. Lower the dumbbell until your elbows are at a 90-degree angle.
8. Pause briefly at the bottom.
9. Slowly extend your elbows, raising the dumbbell back to the starting position.
10. Focus on contracting your triceps at the top.
11. Repeat the movement.

Remember to maintain proper form and control throughout the exercise to effectively target your triceps and avoid straining your shoulders or neck.",triceps,arms,overhead dumbbell tricep extension
skull crushers,https://static.strengthlevel.com/images/illustrations/lying-tricep-extension-1000x1000.jpg,free weight,"Skull Crushers:

1. Lie flat on a bench with your feet planted on the ground.
2. Hold a barbell or EZ curl bar with an overhand grip, hands shoulder-width apart.
3. Raise the bar above your chest, keeping your arms fully extended.
4. Tighten your core muscles and keep your back pressed against the bench.
5. Slowly bend your elbows, lowering the bar towards your forehead.
6. Keep your upper arms stationary and perpendicular to the floor.
7. Lower the bar until your elbows are at a 90-degree angle.
8. Pause briefly at the bottom.
9. Slowly extend your elbows, raising the bar back to the starting position.
10. Focus on contracting your triceps at the top.
11. Repeat the movement.

Make sure to maintain proper form and control throughout the exercise to effectively target your triceps and avoid injury. Be cautious with the weight you choose, as it's important to maintain control of the bar at all times.",triceps,arms,skull crushers
